Date,AAPL,MSFT,NVDA,AVGO,CRM,JPM,BAC,GS,MS,BLK,WFC,JNJ,UNH,LLY,ABBV,MRK,PFE,AMZN,TSLA,HD,MCD,NKE,LOW,CAT,HON,UNP,RTX,GE,DE,GOOGL,META,DIS,NFLX,T,PG,KO,PEP,WMT,COST,CL,XOM,CVX,COP,SLB,EOG,NEE,DUK,SO,AEP,EXC,PLD,AMT,EQIX,SPG,PSA,LIN,APD,NEM,FCX,SHW
2014-02-01,-0.0752713178417374,-0.05548312904473085,-0.05019918039269144,-0.082191056581759,-0.07271804118366122,-0.061949515417679034,-0.06613167715219458,-0.060116044419891726,-0.0703704559051721,-0.06387949306899106,-0.031703562312064774,-0.049221187147204325,-0.049400449909133504,-0.05166257477552608,-0.07049646477229671,-0.044385654726398605,-0.04026747062032934,-0.07520979350627179,-0.22135932151333984,-0.04331362872276663,-0.030732966994170188,-0.05999960484087227,-0.0524386264574525,-0.03574188537564871,-0.035120386354825936,-0.029600605082396463,-0.048857320854163895,-0.05393949407498706,-0.042589587663017764,-0.05000136191867859,-0.14015465340013614,-0.05199073885027989,-0.06731073898160878,-0.03364138772923465,-0.03802347892739869,-0.04500525854038871,-0.0333397429786268,-0.0426660322399679,-0.042393728280145364,-0.039810086145251694,-0.05047829852670459,-0.04590045710223339,-0.04197794485732751,-0.05709459255705538,-0.06287262146707533,-0.05704429903881964,-0.05570703159634232,-0.041692519283711614,-0.05625149281204928,-0.07762014061370308,-0.05712445070742072,-0.050943664235765324,-0.06426148949491545,-0.056383163348629334,-0.0586827808384984,-0.027602402344026618,-0.07323134772664847,-0.09703884110016117,-0.0879005596369897,-0.045468132044846093
2014-03-01,-0.07526645555092026,-0.05703736633300179,-0.05252318173042676,-0.08222126955676595,-0.08006594548711836,-0.06183379025913309,-0.06434735135012498,-0.06005216347015452,-0.06880009672748241,-0.06226731811278138,-0.03411473199521903,-0.04866375921542142,-0.048886533676684586,-0.05041749815912686,-0.06710757102244859,-0.04518981038375214,-0.0384902900136555,-0.08052750402432873,-0.2397688821624848,-0.04589153444446255,-0.029688441495233805,-0.062317739444096985,-0.05352398875491116,-0.029168412803373508,-0.03275811529471322,-0.029692526388878954,-0.0489400974611997,-0.05405381882132698,-0.04474961766861466,-0.06021698160068465,-0.1470989606860142,-0.05337668719338931,-0.1109103727287677,-0.043639562406920025,-0.03839758055136639,-0.04320095767334795,-0.03243103866884418,-0.04021497842032734,-0.04344510200133129,-0.039858613978383174,-0.05061503145831906,-0.0468793149988462,-0.043668457271794026,-0.05550964233184653,-0.06267165956048068,-0.0543686051405152,-0.05336396907677392,-0.0412742171142303,-0.05498597297172043,-0.0756716264785275,-0.05695021009063757,-0.05075315433233286,-0.06366255146002492,-0.056706216522247575,-0.05883451399274519,-0.026464306225355984,-0.07442032571565411,-0.09504969706542757,-0.08749771196476618,-0.04543468612915071
2014-04-01,-0.07811583776497077,-0.04571168947383569,-0.05091315780389203,-0.06803677091833779,-0.08210108518289784,-0.06855611303953417,-0.07858975638463314,-0.06072407735093622,-0.06939116186776327,-0.06372811380379285,-0.03513482747928277,-0.04814516111431196,-0.05871551680643331,-0.04947126991575716,-0.05937388040325682,-0.04304413178414953,-0.040040595957017686,-0.08575854164340185,-0.23311632714779512,-0.04383500175405043,-0.03045600776478517,-0.0603619049649621,-0.05898274170542594,-0.028937666167789967,-0.030419206621545285,-0.029489269476960907,-0.04709738191938607,-0.05219838397139398,-0.04405828707449579,-0.06339203481020048,-0.14877645433922412,-0.04929678113848217,-0.11462570766042084,-0.0435311851443594,-0.03857165350924816,-0.04424639956749126,-0.031850462260171436,-0.040608755056026236,-0.04408443643959081,-0.04062112403981228,-0.0512420519190105,-0.04878353301949763,-0.04484165576500169,-0.05489118525612505,-0.05717291099776926,-0.0538166079071712,-0.053974237239217474,-0.042407956413490246,-0.05535146366876124,-0.07241357662601497,-0.05464789509439664,-0.04419552510327562,-0.06421575525489805,-0.04788293227703578,-0.055142863180888714,-0.026285900525082326,-0.07484810366110317,-0.07566372794909823,-0.08295118344204595,-0.040267671251055764
2014-05-01,-0.07903814678424506,-0.04445229711025435,-0.05039004952313466,-0.06140845971038383,-0.08203817026388571,-0.060799769198588385,-0.0737591384604389,-0.05276811011764782,-0.056141815213519436,-0.06281233030302427,-0.032705908456457766,-0.04753651723548964,-0.05944655051351012,-0.046962607336480895,-0.054530193674966795,-0.04340140975571822,-0.03824485932066306,-0.08477158311005271,-0.17821923606878579,-0.03937420867910712,-0.024411545420132713,-0.059720492765398175,-0.05368289709486484,-0.03174576374598237,-0.02746251347329412,-0.029580499339747088,-0.0482491874589576,-0.05181991599680937,-0.0439775659929212,-0.06402396735373536,-0.135649662619406,-0.05006134919287703,-0.1321606624698353,-0.04008341332503638,-0.03910162966772848,-0.04055547440644624,-0.03126548040045919,-0.04059196566236185,-0.04406732249503214,-0.03887946500543522,-0.05207804500716237,-0.04940420028338965,-0.04723304404552027,-0.0529668153020806,-0.057792822181906775,-0.046192070107466704,-0.04249800935547352,-0.03420411315785953,-0.04037717525413626,-0.047258565320652354,-0.0534265925279491,-0.04236164332683755,-0.0653232963354637,-0.04309264585219867,-0.04807586021170947,-0.025991647124445717,-0.07282731658670034,-0.07353088010750536,-0.08298492708415807,-0.04003491251354507
2014-06-01,-0.06348510166246765,-0.044103357288688916,-0.04994748459923684,-0.05922446414705524,-0.07530668429844467,-0.060241843482567684,-0.07047145807859256,-0.05015911841188801,-0.051602090495156294,-0.056233827211100776,-0.03322888674189414,-0.047813528175911016,-0.05903155144361763,-0.03966021983748584,-0.051773885037777835,-0.0431421781163041,-0.03731372400324741,-0.08494416795099154,-0.17961581870223078,-0.038951769298881306,-0.02303380597831246,-0.05953553018980606,-0.05222328445930555,-0.028693157972928315,-0.027724780895899973,-0.02964699552676105,-0.04753335811166845,-0.05244024458163988,-0.0374379908975314,-0.06391100527340138,-0.1345858691115832,-0.049535072846569266,-0.12662449186459115,-0.04015118613986544,-0.04035223722119327,-0.041491859663657114,-0.03125784753769383,-0.04101643408526033,-0.04411526382908279,-0.03854570181818219,-0.05205789064367279,-0.05182379459026512,-0.04858824767847,-0.05689165647695186,-0.059608250797341895,-0.04378404597893602,-0.044406553974077,-0.036371140427660306,-0.04057678291691865,-0.04705061327262508,-0.048899197025894764,-0.035490846067132785,-0.060374348903358944,-0.0396753767926505,-0.04839918765217865,-0.02606548515446618,-0.07196872194675293,-0.07534921586780503,-0.07286935944385926,-0.03331194419341832
2014-07-01,-0.05701951965907734,-0.031101669337805934,-0.05529107198579707,-0.06170727934441935,-0.07342311091039845,-0.05859575783162819,-0.06100545520788734,-0.04558273397359682,-0.04460250960756064,-0.05277751059359148,-0.03518113502342432,-0.04604838082472122,-0.05175407071787155,-0.03706572210391883,-0.05517924164016382,-0.04338209762518759,-0.03729006785080921,-0.08314541147129073,-0.17644609522456514,-0.03846674890921973,-0.030100201002734663,-0.05926914489689434,-0.04722032701225086,-0.04076251013163449,-0.026986986155670245,-0.031042234646254756,-0.04475474266008464,-0.05216588129096621,-0.04148594562687098,-0.06447137912297804,-0.09334340468527688,-0.050055208820063736,-0.12672792173764053,-0.040042774174076284,-0.03887053291995736,-0.04677118540740007,-0.03099730393702155,-0.03914208230759185,-0.040924404527433754,-0.04508705378064,-0.05199075986387822,-0.049517962250323934,-0.05101048590097345,-0.059842041461227034,-0.06543808455566422,-0.05190672310912649,-0.043930430119587194,-0.03929121955690911,-0.04813740960033879,-0.06956686766384461,-0.0487374686427613,-0.03318465127269873,-0.05906002038990147,-0.03967273461507737,-0.047214803801056006,-0.026608078281641072,-0.05504700441900117,-0.07503220716995933,-0.07190837727920833,-0.03263809104811623
2014-08-01,-0.05677054351411676,-0.03131753432363198,-0.060876822525182755,-0.06977064598745623,-0.07017463245547716,-0.0506849767464547,-0.061344634792689375,-0.03838006649264528,-0.04085711539806355,-0.04858123467966117,-0.026930845497670674,-0.037467476738391625,-0.05350055294526007,-0.03447718090544702,-0.05187456527660574,-0.043388204133926016,-0.03712141716127994,-0.08245125265913811,-0.17282960773144615,-0.05126134140333069,-0.027790613102642622,-0.058948098853352254,-0.05374403873062243,-0.04468519315037046,-0.02231907233517082,-0.02930486398338663,-0.041729065479159916,-0.049372057341865096,-0.04172747759339392,-0.061052288599395155,-0.09172977967423919,-0.042346233419592046,-0.12492114628076866,-0.038910300198177254,-0.04446880379887767,-0.04685338596866472,-0.028127007794967764,-0.03437776813681603,-0.03865732914672809,-0.043842305235360146,-0.04560732279522323,-0.04707035916928368,-0.051646756921856773,-0.05928095484609003,-0.0644181889823232,-0.04547381704066954,-0.03524879575314672,-0.03239394251049388,-0.038400816705377046,-0.07217534493994067,-0.039231874437537465,-0.030469566382468883,-0.05720213317835784,-0.021523288687456132,-0.04443772350893246,-0.025288414799617454,-0.049162847692368464,-0.07765913397500607,-0.0708351276515354,-0.03357160225899474
2014-09-01,-0.05654812756944654,-0.030361284739773287,-0.06325049842389066,-0.0681520433062617,-0.0699444489324973,-0.05064171982772981,-0.06170855742582796,-0.037639443726890466,-0.040585943326797984,-0.04839220693385812,-0.02686693560456417,-0.037679002619979134,-0.05360968862175721,-0.03293340715450169,-0.05169462856662151,-0.04447702691401065,-0.03692821621864353,-0.0790636184611588,-0.17463624940541822,-0.05253881806614198,-0.02726122549828311,-0.055424607274240485,-0.05314052259380609,-0.056932130330293845,-0.022020541233434766,-0.02913437377283813,-0.03556944811720342,-0.04949730782470462,-0.04160306845858062,-0.06117350236336556,-0.07947443037073135,-0.0432498428740358,-0.12730517254778445,-0.03881269812357884,-0.042844758762543934,-0.046623506107995295,-0.027720758012618522,-0.03437544446221202,-0.03881978340219134,-0.04359597697102494,-0.04883306438906123,-0.05250994006873491,-0.055593699488514295,-0.06169415684217886,-0.07282738780706784,-0.04854723795699052,-0.03502653894432112,-0.03326767407143964,-0.0401410092850688,-0.07173281215859487,-0.044821488162298084,-0.036509812581770065,-0.057367320595418984,-0.025233499238670548,-0.04697057197428175,-0.026397559821716064,-0.05056957983628901,-0.08331332798378521,-0.07549146865835835,-0.031570514395840896
2014-10-01,-0.054812145268562054,-0.028934689836290516,-0.06295698739580229,-0.07070730944830614,-0.07538457469670606,-0.05045895327624695,-0.061741303326715895,-0.038119820000248154,-0.038376329407278746,-0.04056216932984716,-0.02664251984567089,-0.0347356480042355,-0.05495669745375574,-0.03114667867321581,-0.05323102218859523,-0.04113466231653427,-0.03180421189223805,-0.06469747889921222,-0.16224506445040832,-0.05428527700973048,-0.02750815477676998,-0.05539910330859023,-0.055888281595413064,-0.0567061933585635,-0.02067181705177062,-0.02573480425475812,-0.035430053135235506,-0.04100902688500788,-0.043743456594005255,-0.045157223009502284,-0.08309995218073461,-0.041925666316230695,-0.1363104112591906,-0.034399346545102454,-0.04049340219224942,-0.045388493180717866,-0.024702108548097713,-0.03287534962813669,-0.04170983265633981,-0.03661620739178317,-0.04822640379169238,-0.05232757459948681,-0.05724665317210653,-0.06102892948652635,-0.07326704447284993,-0.049344512386153845,-0.03885626720444902,-0.035933018473229,-0.045417653647235524,-0.07131163449136622,-0.05122217852217461,-0.03377803241396548,-0.03784684691170623,-0.031717711064767465,-0.055524450945524904,-0.024986362653487946,-0.050852658590131355,-0.0998954214700386,-0.07751823500924757,-0.032566910170659
2014-11-01,-0.057335631242574146,-0.024663403271565007,-0.06447832974806404,-0.06735816366536611,-0.0783322891541845,-0.040359926633860274,-0.05195173319603235,-0.03704396587304389,-0.03135677037825339,-0.04200136695711375,-0.026510734602063886,-0.03478633937570568,-0.05195278862159069,-0.03058443485506968,-0.05643003143135904,-0.03412981876707088,-0.03239965009824837,-0.06825589994878531,-0.14019623573836207,-0.054091638811540346,-0.028967004331211414,-0.056680062599570966,-0.059795134844327476,-0.056950675679615814,-0.021301547645651685,-0.02560604714382858,-0.034191549070769246,-0.04129974427564105,-0.043209361368539895,-0.046183874068506436,-0.07702000748083292,-0.0420657860092579,-0.137226197703769,-0.03517869028948633,-0.0399257577733265,-0.04867989614458864,-0.02562734351726164,-0.049651240091653344,-0.0419849970934293,-0.03821739421193369,-0.05138604824849677,-0.05924784916087888,-0.061719259991547426,-0.07195939696729077,-0.07464558065833087,-0.04943372239667008,-0.038045223008119626,-0.03623271517570232,-0.046339544646669346,-0.06752373371866281,-0.04786090502224312,-0.03494396306457964,-0.046677692723222884,-0.027745735335622402,-0.04564790173223959,-0.025284919059466133,-0.05200414689574636,-0.0978746826075465,-0.077559356241566,-0.031926498916669696
