,beta,momentum,size,low_vol,ltr
2016-02-01,0.003174786509046306,0.00816666231288102,-0.015540221931396972,0.01308228341099129,-0.002692628095728339
2016-03-01,0.001050235314112415,-0.0036665997972876,0.009810757269800198,0.0007868265327847009,-0.006049094378871861
2016-04-01,0.01354427758736899,0.011933253058506482,-0.023647483614095643,0.013102886982204692,-0.0035605664330184065
2016-05-01,-0.005914462213191502,-0.021941047921087593,0.007817774446974013,-0.010006943899979786,-0.0019139370929629168
2016-06-01,0.01785212165739245,0.025440129560531287,-0.010039551766940581,0.001957475951728166,-0.0055883738376435186
2016-07-01,-0.005684288638718308,-0.021344348434365796,0.004845338488757902,0.0025895644352563474,-0.00013313325194545984
2016-08-01,-0.0062877528960451155,-0.009937380735521834,0.010223448195641034,-0.00436024491630258,0.011708209584648833
2016-09-01,0.015647558158472744,-0.012069979278951752,0.00504226847488555,0.007094234498897686,0.0028396377704661617
2016-10-01,-0.008477301361088877,0.0038264632058608414,0.010712036967390367,0.0015019647298857713,0.010393279082709565
2016-11-01,-0.0021638242709095313,-0.011170333369574155,-0.018968870757490982,-0.0017021176928938746,0.017317343255258223
2016-12-01,0.006060887259861036,0.0015239785292143707,-4.8425193214537846e-05,0.004442382040808557,0.006068362549501254
2017-01-01,-0.012632190323237261,-0.013905711606203125,0.011588941810496939,-0.0066893632476935925,0.007510868898033074
2017-02-01,0.003468118550944419,0.013612573463775382,0.015874942102275358,0.001201298494168222,0.004694606651976638
2017-03-01,0.0032404552710417677,-0.0124335137520405,0.01308548432018353,-0.01235688676942739,0.001062848766049126
2017-04-01,0.002800973761802857,-0.0021039530170548996,-0.0004477557717039284,0.002799132796803487,0.004454409586214705
2017-05-01,0.007480047249158782,-0.0030501980702456943,0.014462663296596802,-0.0046617628415093395,0.013285651951291
2017-06-01,-0.0005455735428781788,0.0051983477160804405,-0.015361855083520953,0.013534503131802773,0.002273185539905782
2017-07-01,-0.003593303680480925,-0.007939200676748893,0.017876036253847455,-0.0032530010392726044,0.017068587717082365
2017-08-01,-0.002512087739596735,0.009756442840346607,0.007209837430073479,0.005516502104677988,0.0005410552713088616
2017-09-01,0.004017231209691542,0.006821014695411092,-0.008335234467716097,0.007289802660535667,0.01342350773649567
2017-10-01,0.0020727615862626697,0.011578464118757634,0.018732400864157263,-0.015879427865416854,0.026623308997087584
2017-11-01,0.012195490413892583,-0.0025809525317247585,0.0021500022370583008,-0.002140642394443287,0.006263191623631082
2017-12-01,-0.005627331273123931,-0.0007153076762441988,-0.007104273971957049,-0.0036282737350078523,0.005038745277239791
2018-01-01,0.011516253051361097,0.008429584957881587,0.005992506064079281,0.006539941812809108,0.03663051044927624
2018-02-01,-0.0049844797471160955,-0.0031022955548152343,0.0166326819027539,0.017723410524539462,-0.008492112409043741
2018-03-01,-0.0043818110363108165,-0.004041440420689343,-0.005048888049877711,-0.015810541615942544,-0.014089796872497
2018-04-01,-0.00667801088109771,0.011380245925607511,0.008805966938697979,0.0017533756324628726,0.009467482656408921
2018-05-01,-0.01693026637084781,0.025440545966758564,0.02570149068243803,0.007660112114857861,0.029212958966368968
2018-06-01,-0.013900118608999583,0.0034061924702715107,-0.0013927705255841172,-0.004171589211145675,0.003981706367736011
2018-07-01,0.009926026988501788,0.002385643155069044,-0.0025465360950873237,-0.0020669579464760927,0.005842113460957186
2018-08-01,-0.010636284387459373,0.023559016108074683,0.020266100311012177,-0.006952190283003009,0.020820843545487074
2018-09-01,0.0025920737605281026,0.0038235288858403044,0.006315243822327102,-2.9290119180692617e-05,0.010898244031667429
2018-10-01,-0.007715572989021587,-0.03968759350479347,0.0014140568606939765,-0.0006510746087476545,-0.019355917736692905
2018-11-01,0.015629140029191687,-0.013703133143870862,-0.005164240463408862,0.031161440316712193,-0.012461229108598634
2018-12-01,0.014031938818573952,-0.010591404715557147,0.01343954954569082,0.01992989317560757,-0.0020877484867640192
2019-01-01,-0.007017263194157939,0.007378586508612534,-0.004257241294234202,-0.00964563869895125,0.001846228830669228
2019-02-01,0.0018922538633858134,-0.009163323566304551,0.001639280655169508,0.005222523464873284,0.002990647104225252
2019-03-01,0.003179135310474977,0.011117675530583637,0.01667566696592809,-0.011463801176086589,-0.0037601085100580633
2019-04-01,0.007909457433658219,0.004322031382161635,0.008902306799408163,0.011227759703639224,-0.009203993911832166
2019-05-01,0.005389285448180174,-0.0072169422868544495,-0.000567044764903431,0.013197238525630853,0.007655855364472731
2019-06-01,0.0018238835149279858,-0.015480010242838887,0.00870675324614285,0.0056317261482132135,0.008590233408001514
