,R2
2016-02-01,0.07282663473035689
2016-03-01,0.020184800521335755
2016-04-01,0.10388443482031262
2016-05-01,0.17577203283235443
2016-06-01,0.20401024140482882
2016-07-01,0.0873177052125429
2016-08-01,0.08882769609053842
2016-09-01,0.24196464920718663
2016-10-01,0.09067925825789913
2016-11-01,0.09761565292238983
2016-12-01,0.02097057240936895
2017-01-01,0.10840439057040518
2017-02-01,0.12833113002317542
2017-03-01,0.16812861096882836
2017-04-01,0.015094118631250097
2017-05-01,0.10048980050692247
2017-06-01,0.12402499659862387
2017-07-01,0.16286086097976116
2017-08-01,0.116189760067828
2017-09-01,0.0720826407978783
2017-10-01,0.2394460182134731
2017-11-01,0.0886732746274339
2017-12-01,0.05649657275611397
2018-01-01,0.12847372002870738
2018-02-01,0.1396733909987875
2018-03-01,0.08881396781896855
2018-04-01,0.04736964268095545
2018-05-01,0.2945130471634003
2018-06-01,0.0567620763963842
2018-07-01,0.04133914239132275
2018-08-01,0.2593898042327857
2018-09-01,0.06643028422946584
2018-10-01,0.14648540475813354
2018-11-01,0.08759365304358102
2018-12-01,0.033785784269593666
2019-01-01,0.007557874343470106
2019-02-01,0.02271044579484105
2019-03-01,0.17927624934121478
2019-04-01,0.0570480836528281
2019-05-01,0.014513405292366666
2019-06-01,0.023548004050977567
2019-07-01,0.13646459655159315
2019-08-01,0.05071405217813085
2019-09-01,0.0394058379963913
2019-10-01,0.013906633483215747
2019-11-01,0.05424327542511109
2019-12-01,0.0599166906388211
2020-01-01,0.012755931172111157
2020-02-01,0.02764405324505692
2020-03-01,0.028012765879721013
2020-04-01,0.011167650883006752
2020-05-01,0.1435424049911751
2020-06-01,0.1410688787886557
2020-07-01,0.04374330524884529
2020-08-01,0.1696180409825505
2020-09-01,0.10568989675896756
2020-10-01,0.23774225309969366
2020-11-01,0.019739426115940817
2020-12-01,0.05308409172286799
2021-01-01,0.07805433893688685
2021-02-01,0.04949820223006396
2021-03-01,0.026217743897925305
2021-04-01,0.048829937771266985
2021-05-01,0.05877179019732537
2021-06-01,0.17725431351403353
2021-07-01,0.13212269765822549
2021-08-01,0.05655003082329091
2021-09-01,0.07064743323747402
2021-10-01,0.07038513331413465
2021-11-01,0.08863939178582125
2021-12-01,0.13232713103530724
2022-01-01,0.12779536418160786
2022-02-01,0.04398804975827353
2022-03-01,0.02979718389756225
2022-04-01,0.05659712286649299
2022-05-01,0.06549475679628192
2022-06-01,0.021202970151454448
2022-07-01,0.021128020493694333
2022-08-01,0.07921499639359275
2022-09-01,0.038429448635712515
2022-10-01,0.056825980401502885
2022-11-01,0.06439421654049016
2022-12-01,0.044453677600551966
2023-01-01,0.022880489366972512
2023-02-01,0.020632258169935302
2023-03-01,0.1658647624776216
2023-04-01,0.06400055922049253
2023-05-01,0.03698974055277782
2023-06-01,0.021194266781028315
2023-07-01,0.026456984154938357
2023-08-01,0.14311024610701584
2023-09-01,0.08011108027021985
2023-10-01,0.14444987853732105
2023-11-01,0.045036318903443506
2023-12-01,0.015546529441969437
2024-01-01,0.12953410840976454
2024-02-01,0.04010881580252179
2024-03-01,0.021518354225415814
2024-04-01,0.0986736416649896
2024-05-01,0.1920889517308919
2024-06-01,0.08987349700691105
2024-07-01,0.13407507822605436
2024-08-01,0.10231326355792592
2024-09-01,0.00823750161021719
2024-10-01,0.14404918092205732
2024-11-01,0.0882136072196612
2024-12-01,0.06006585930555686
