PC,eigenvalues,explained_var_pct,cumulative_pct
0,21.059266203259266,34.77075105211031,34.77075105211031
1,6.445440013375761,10.642003760402346,45.41275481251266
2,4.991475557869515,8.241377089317268,53.65413190182993
3,2.2263558320959427,3.6759146137409644,57.330046515570885
4,1.9443938461576642,3.210369901755645,60.54041641732654
5,1.849755076722418,3.0541127434980733,63.59452916082461
6,1.4535174407107805,2.399888609273251,65.99441777009785
7,1.356411292889723,2.2395575863911312,68.23397535648898
8,1.2317489102098356,2.033728730253,70.26770408674199
9,1.1948867902718094,1.9728660400126448,72.24057012675463
10,1.0877702238123639,1.7960069115905073,74.03657703834514
11,0.9973753387050743,1.6467567897622721,75.68333382810741
12,0.934791635876054,1.5434254424121763,77.22675927051958
13,0.8606924843322201,1.421081048897435,78.64784031941701
14,0.835565831714871,1.3795946754170767,80.0274349948341
15,0.7714306263611883,1.2737016572318687,81.30113665206596
16,0.7320489360459179,1.2086789286739454,82.50981558073991
17,0.6742264174539919,1.113208726637432,83.62302430737734
18,0.6235103183702576,1.0294718652219208,84.65249617259926
19,0.6039193219198266,0.9971253601791529,85.64962153277841
20,0.5788451336830308,0.9557256101308608,86.60534714290927
21,0.5619991263734201,0.9279113301492605,87.53325847305852
22,0.5325301067154579,0.8792553163837779,88.4125137894423
23,0.4853098082341279,0.801290337582828,89.21380412702513
24,0.4692026699045724,0.7746959970387021,89.98850012406383
25,0.4452544426604125,0.7351553103115844,90.72365543437542
26,0.4332226482666736,0.7152897307829814,91.4389451651584
27,0.395781252179349,0.6534706032867755,92.09241576844518
28,0.3768808888991415,0.6222643960016978,92.71468016444688
29,0.34399606922045534,0.5679685878094746,93.28264875225635
30,0.32526286228475493,0.53703837075053,93.81968712300687
31,0.3163846385660359,0.5223796213084082,94.34206674431529
32,0.29138625147907365,0.4811050258065702,94.82317177012186
33,0.24821636562500013,0.40982764417834916,95.23299941430021
34,0.2373256679110187,0.3918461183577567,95.62484553265797
35,0.2354609697553606,0.3887673332409381,96.0136128658989
36,0.22070873761395304,0.3644100652192994,96.3780229311182
37,0.2095606956567896,0.3460036408040451,96.72402657192225
38,0.18408699281342397,0.3039442560470863,97.02797082796934
39,0.17526831463746864,0.2893838216755713,97.3173546496449
40,0.16806498955297494,0.27749048119338543,97.5948451308383
41,0.1496855788290016,0.24714441364289985,97.8419895444812
42,0.13840883305415813,0.22852548759720814,98.0705150320784
43,0.13293100429542598,0.21948109743481548,98.28999612951321
44,0.12406258477789706,0.20483853561459636,98.49483466512781
45,0.1231037022090642,0.2032553338654331,98.69808999899324
46,0.0960075865210254,0.15851719892879582,98.85660719792205
47,0.09359031690608825,0.1545260684119214,99.01113326633396
48,0.08637010465928398,0.1426048456991293,99.1537381120331
49,0.07588568825681957,0.12529412702839368,99.2790322390615
50,0.0731075608378663,0.12070718767622786,99.39973942673772
51,0.0599220923320247,0.098936787962533,99.49867621470025
52,0.0519319042822153,0.08574426563730252,99.58442048033756
53,0.05089450266359794,0.0840314218433237,99.66845190218088
54,0.04563479864427587,0.07534717533167044,99.74379907751255
55,0.03823917304144444,0.06313632932076496,99.80693540683332
56,0.038121694033206845,0.06294236086479635,99.86987776769811
57,0.03204959378647266,0.052916774787633986,99.92279454248575
58,0.025576748229005398,0.04222952199804629,99.9650240644838
59,0.021183538303214355,0.034975935516210616,100.0
