Date,SPY
2013-02-01,0.012678426304948864
2013-03-01,0.03282984647595377
2013-04-01,0.02346833138559834
2013-05-01,0.023334966569104054
2013-06-01,-0.018711385190564478
2013-07-01,0.05566291978761306
2013-08-01,-0.030451116980655613
2013-09-01,0.026293242297637853
2013-10-01,0.050129320025767754
2013-11-01,0.029207386789162015
2013-12-01,0.020181540720326296
2014-01-01,-0.030470302799533222
2014-02-01,0.04451047119921281
2014-03-01,0.0038573244156054898
2014-04-01,0.011331150622335251
2014-05-01,0.022941502892920518
2014-06-01,0.01565417342779174
2014-07-01,-0.008748374395325165
2014-08-01,0.03870486492983183
2014-09-01,-0.018556339077922424
2014-10-01,0.027941767487924984
2014-11-01,0.027101371663356133
2014-12-01,-0.008043871593062413
2015-01-01,-0.024573100721514862
2015-02-01,0.054682336918017604
2015-03-01,-0.020284438529364124
2015-04-01,0.014239350638604265
2015-05-01,0.012774679900216412
2015-06-01,-0.02537367001593971
2015-07-01,0.027190119898037324
2015-08-01,-0.06288681288444398
2015-09-01,-0.03103234845618008
2015-10-01,0.08682066413350231
2015-11-01,0.0036481845611859853
2015-12-01,-0.023367215097831462
2016-01-01,-0.04513508797674515
2016-02-01,-0.0008258205394007234
2016-03-01,0.059955325806631876
2016-04-01,0.009078103691784634
2016-05-01,0.01686839967970588
2016-06-01,-0.0017172092166966024
2016-07-01,0.04100904836088848
2016-08-01,0.0011963879840575231
2016-09-01,-0.004980501640448054
2016-10-01,-0.012449959406960254
2016-11-01,0.03617589833512369
2016-12-01,0.01419202114004392
2017-01-01,0.023613409251467488
2017-02-01,0.03853927764566567
2017-03-01,-0.0030919045481088148
2017-04-01,0.014218137341844184
2017-05-01,0.014014293922360643
2017-06-01,0.0014901382258365459
2017-07-01,0.025210604337917886
2017-08-01,0.0029135769192345506
2017-09-01,0.014998484622645414
2017-10-01,0.028241115237114478
2017-11-01,0.030108110589829096
2017-12-01,0.0069566124683593245
2018-01-01,0.05992641432872503
2018-02-01,-0.037038050586032156
2018-03-01,-0.03178996291372371
2018-04-01,0.009151977800645916
2018-05-01,0.024018253919864563
2018-06-01,0.0012538736170659703
2018-07-01,0.04085699151141142
2018-08-01,0.03142131936998105
2018-09-01,0.0014113352926177214
2018-10-01,-0.06709136285901529
2018-11-01,0.0183790860073918
2018-12-01,-0.09799088721990845
2019-01-01,0.08284429836022333
2019-02-01,0.03190185215046348
2019-03-01,0.013543626116740981
2019-04-01,0.04443456874282248
2019-05-01,-0.06589495094931053
2019-06-01,0.06242010543146215
2019-07-01,0.019858083094259626
2019-08-01,-0.01688491633217204
2019-09-01,0.014663555091990688
2019-10-01,0.02647097347641214
2019-11-01,0.035558639209381404
2019-12-01,0.023736986540431104
2020-01-01,0.0045003746333796
2020-02-01,-0.08247537737710342
2020-03-01,-0.13924695026006528
2020-04-01,0.12540756448324686
2020-05-01,0.0465451173271374
2020-06-01,0.013187969429405477
2020-07-01,0.061614166505876256
2020-08-01,0.06746872440638185
2020-09-01,-0.04215742291951852
2020-10-01,-0.021255104475281783
2020-11-01,0.10325769299347876
2020-12-01,0.032124961717443945
2021-01-01,-0.005989331180250801
2021-02-01,0.027426012997346483
2021-03-01,0.04112883487705332
2021-04-01,0.05482846240439798
2021-05-01,0.006544399051717775
2021-06-01,0.018913343070584787
2021-07-01,0.027385570615259702
2021-08-01,0.029325662608644443
2021-09-01,-0.05092494370868561
2021-10-01,0.07101002212291707
2021-11-01,-0.008067293545625631
2021-12-01,0.041703156797826324
2022-01-01,-0.050675981812126736
2022-02-01,-0.029961387607942314
2022-03-01,0.03379938205906896
2022-04-01,-0.08876053889206581
2022-05-01,0.002254896404287443
2022-06-01,-0.09036994533173814
2022-07-01,0.09240116361452433
2022-08-01,-0.04165759555707371
2022-09-01,-0.10110152832593133
2022-10-01,0.08224079059169398
2022-11-01,0.054101275407911764
2022-12-01,-0.06393689289629023
2023-01-01,0.06557080795511716
2023-02-01,-0.025464211888921007
2023-03-01,0.032597676599814385
2023-04-01,0.019657923000450772
2023-05-01,0.004605535267642402
2023-06-01,0.05907909593151128
2023-07-01,0.03591663355177932
2023-08-01,-0.016385519702883045
2023-09-01,-0.052117342801231814
2023-10-01,-0.018426669140402474
2023-11-01,0.0874097103776581
2023-12-01,0.040597730964467615
2024-01-01,0.019847027904450698
2024-02-01,0.05087081715409347
2024-03-01,0.029076446627418484
2024-04-01,-0.038052871356319073
2024-05-01,0.049342067542377244
2024-06-01,0.03145115246242636
2024-07-01,0.015257315549065176
2024-08-01,0.023096863258600386
2024-09-01,0.017724357372895128
2024-10-01,-0.00590099724137616
2024-11-01,0.05792307294344656
2024-12-01,-0.027714265636795687
