Date,AAPL,MSFT,NVDA,AVGO,CRM,JPM,BAC,GS,MS,BLK,WFC,JNJ,UNH,LLY,ABBV,MRK,PFE,AMZN,TSLA,HD,MCD,NKE,LOW,CAT,HON,UNP,RTX,GE,DE,GOOGL,META,DIS,NFLX,T,PG,KO,PEP,WMT,COST,CL,XOM,CVX,COP,SLB,EOG,NEE,DUK,SO,AEP,EXC,PLD,AMT,EQIX,SPG,PSA,LIN,APD,NEM,FCX,SHW
2021-08-01,1.2273924528984739,0.7231728958429582,1.2539563932782665,0.9944410907326426,1.115719850578751,1.2080814302185336,1.576640512392253,1.4823508153098897,1.5521455409087581,1.1142869965859061,1.3287873504282706,0.6666926350012395,0.7008552011763163,0.1298634749977218,0.6367644899051321,0.3354635758523865,0.6506757943116077,1.061578500947782,1.8048731227525043,0.978511693274424,0.6235312838569302,0.7910779493474428,1.2293810614339766,0.818719740545526,1.0933495251106704,1.1022940390104503,1.517248708214154,1.1240955254593412,0.9749949579522391,0.9704709060795658,1.3117690367821875,1.1942330197181124,0.7541551084789138,0.7792245615609755,0.4059122683936038,0.6492682688719538,0.6041112754404372,0.32862071943190974,0.5604887024820558,0.5853682989547266,1.4501479066319596,1.3124379589687614,1.8917134039875023,2.7298434547742323,2.3536379297799512,0.22225520430049223,0.298716831093073,0.5079831504243643,0.3297165525621598,0.4802816230660295,0.792584256945637,0.23420699707831816,0.2768477154694643,1.9453550116348999,0.16739254134010917,0.7377344445588125,0.7316922316957892,0.12484815004672202,2.156792463715643,1.0265170607606497
2021-09-01,1.2043132000482069,0.7231675365692009,1.2529132968151087,1.001354683805515,1.1123321292900985,1.2174789473805636,1.5903250453932176,1.4981195815543944,1.572327048841318,1.1362900831989633,1.3253138793522725,0.6653705701515668,0.6931201246707144,0.12793761095332037,0.6362251171565458,0.32780498989309625,0.6569773879046368,1.0477615864717447,1.8157228119120625,0.9757855244364548,0.6159359593948037,0.7781992068184658,1.2234723768709745,0.8282298655090614,1.093775143245964,1.101127376515884,1.5196399519540846,1.136331006188147,0.9840544084887927,0.981671785178831,1.3194136106006955,1.2007086807649627,0.7545585336045117,0.7766903334692354,0.4018048112804882,0.6556747076633127,0.6087023453436586,0.3226472089581775,0.5594187871309086,0.5841842698635946,1.4456653565896136,1.3165391030294367,1.8889531358553269,2.7384799223235836,2.3607241199036,0.23152782125378096,0.2992829845277326,0.5307035669809795,0.3311599102842879,0.4828963138344855,0.7971103293391475,0.2386539741626299,0.2828116892463717,1.9508477099525834,0.17719930534740091,0.7518488394562497,0.7187957198870205,0.14180386014286028,2.17908822272272,1.0283454115912556
2021-10-01,1.213808178264809,0.7518157427136002,1.2682726566817641,1.0039512724893567,1.0698699288685805,1.163177451245689,1.5219274344511224,1.4955452943729686,1.5625549549016853,1.172288011408197,1.2526987912654712,0.6860796371838354,0.7105188524138517,0.20208651517405407,0.6830962285444464,0.331614416336488,0.683956454471681,1.0484328262081666,1.738372839377176,0.9473187820167566,0.5909108637844148,0.8359556103110475,1.1960933218307621,0.8692892895410785,1.114830629425209,1.131446916045717,1.4597132622443971,1.0950898604907804,1.037150542806094,1.0016753793223931,1.3400952923939309,1.208406996568872,0.6932866324039795,0.7634524083340559,0.40654792216065055,0.6812335960520142,0.6147756057595385,0.34949839044647313,0.5576190235310187,0.5848057979506334,1.3429323661970092,1.235627011941978,1.7046977092490279,2.5890983865865005,2.1728737456126503,0.2692830108752033,0.3288031615659617,0.5480849630181037,0.37604272639894876,0.47226075978944404,0.8209612053862989,0.2937154768674488,0.3182527574627185,1.8945307614727847,0.22280782935386872,0.7774376496013172,0.7302611511991416,0.18217044192442045,2.1771745746941638,1.0476080770516543
2021-11-01,1.223615315120734,0.7726369781804399,1.1503300335636384,0.9866657154968315,1.0197235937002582,1.176040306612607,1.5694259788069145,1.5740192388097094,1.5963874950054957,1.1471313631668845,1.3561910858278936,0.7147572158457766,0.794758047368869,0.2381466184322005,0.5711745551898243,0.45895212519036477,0.6913457921730407,0.8973007073636775,2.0812090340842637,0.8959928357053508,0.6484296822778135,0.8197314171298075,1.137208339476424,0.7351737270614822,1.076654107320706,1.1829627432946042,1.4282089131997449,1.0518616511293186,0.9725002125820097,0.9776040639443397,1.267675684358061,1.2185846181535087,0.5906854709111501,0.6791653264713268,0.4604513619354894,0.7725614321615966,0.6728160774696462,0.4336280406620063,0.5756976498141833,0.5071845159504316,1.3901623291344039,1.26849471107547,1.730167574911135,2.6092751968702896,2.1794227934842025,0.31944810187437833,0.37667022195234334,0.5769962498330865,0.4296761793053467,0.5333408340572017,0.8665229167808011,0.3736976639815569,0.2279012739336294,2.0615873516991874,0.2967254942956386,0.8483826393791583,0.7639527494520485,0.1881186497194794,2.1513191864945345,1.0068563617298634
2021-12-01,1.2079549071598472,0.7763351848291301,1.1073461110852305,0.9774322184611881,1.029939857568828,1.18650435885642,1.5805736270923547,1.5932916158770927,1.611250329827851,1.1556731952055457,1.364103483550946,0.7209716959780204,0.8007812426448264,0.246749868166179,0.5622880329334234,0.4929240999099973,0.6406491948807813,0.8873342015381738,2.0825149853963563,0.87942303729368,0.6468215049465036,0.8185217529879115,1.1269528142007053,0.7429098906379843,1.0913191626253158,1.184562861593359,1.4435328111913763,1.0790667983396232,0.9682181528490974,0.9884093436679868,1.2677216838246577,1.2494033960751696,0.6111760737957816,0.691890718125552,0.45596482855313547,0.78497734139522,0.6726019939506104,0.448858091702695,0.5567801325361474,0.5067992783770783,1.3992736512464758,1.2642708390316422,1.735577111976128,2.622857447481855,2.1804448079848178,0.31772782219981066,0.3863385011079349,0.5801281231073692,0.4373567915421322,0.5328881277589373,0.858050353242188,0.39082123757100545,0.23891589071414057,2.040326012561996,0.301457199784785,0.8506704066459523,0.7732763991344778,0.1865795536491115,2.150782901393908,0.9955436037109893
2022-01-01,1.1823038212275148,0.7341228889498703,0.8895856585277808,1.2047495995047346,1.0625369632115913,1.1648544371125635,1.59627288172161,1.619205717401212,1.6630429876082582,1.1741281926184408,1.3573340877257074,0.6817232760533464,0.7688726774416241,0.24888051122440125,0.6358446054723299,0.5152775683377029,0.6776176792472042,0.8161929805312874,2.167250295511157,0.9189595154497086,0.6775427769142679,0.8796328012879752,1.2266034150872365,0.7601861034578601,1.1077555097306795,1.2147862387922932,1.4896386096266423,1.2174711461267966,1.0164822449168252,1.013897750700704,1.3271771956486336,1.3620135553581734,0.56091367321758,0.6925277332977727,0.49252515962885646,0.8497390534474051,0.644900473840846,0.4399935787204827,0.44912096321230044,0.5152948695583459,1.4229875875705718,1.3462663847489915,1.9005207761440719,2.726990766034696,2.2751165364624595,0.30177667976772904,0.4327833694263608,0.5957232864202,0.4781958481686713,0.594510720979,0.7915497819228506,0.3993353398997064,0.14311940199802636,2.2208081806110487,0.28681588757994547,0.9333723377037735,0.8604057623316885,0.30414985855647797,2.24087812710727,1.018592047345467
2022-02-01,1.2115984476940773,0.8168416477535207,1.0516529442542537,1.2836442454024595,1.0709442817149353,1.18640982730402,1.4773498241222986,1.5749464374013837,1.6176337428782372,1.2342392802811601,1.2314610631731502,0.6660196245390442,0.7778355965132958,0.34468710064374253,0.7480747024741943,0.4821533195010189,0.7961546531646104,0.8247186211970323,2.4155675136469075,0.9908837673412894,0.7128582620881183,0.9211380217706516,1.2971588156419815,0.7640077880004887,1.0772339023820048,1.1519197504849745,1.3876938747780374,1.0161579738415798,0.9057008718552519,1.0455372108086087,1.23565467559543,1.410948191928262,0.6651481468849821,0.6307301067056347,0.495510459164161,0.8257718669425753,0.639951810514402,0.45525838948312425,0.5365600990989434,0.4947231419357376,1.2123182386538378,1.2306248566361337,1.6930462976708665,2.3659980699210745,1.9960233608790616,0.4407645688367673,0.4304232426687364,0.5330883577398817,0.4342758221377646,0.5620383575708248,0.7572181095703678,0.4611818339309185,0.20966916959536236,2.2085766951642976,0.2996182246939979,0.9858001022968805,0.9117733432843362,0.34125180687128104,2.28313966682655,1.1534792013597506
2022-03-01,1.235401795129265,0.8277996017981561,1.0561999094092696,1.2704298011640591,1.0917119698152025,1.1891182386648513,1.4766197168482413,1.5774181826338247,1.6599535504915375,1.260318299748376,1.210751983214907,0.6764612067174081,0.792565294063849,0.33396147683400457,0.7067576060025974,0.4896739253429825,0.8334715991528154,0.8166297722253131,2.448032118060343,1.0553292170191908,0.729890471218081,0.9447826949153597,1.3047491935588806,0.7833158780522477,1.0867001539408805,1.1272130993484653,1.2947604584607075,0.9845150849793485,0.9260645139451551,1.043359785656835,1.415454130393239,1.3702509939747016,0.6841468068428673,0.6321712493366716,0.5025855799984255,0.819030181033191,0.6599362621824496,0.46444104680899845,0.5269196986049585,0.5164174532803246,1.1649316675889625,1.1623415363462835,1.6367490792236463,2.3213709159736027,1.9560476109103229,0.4340841604078201,0.44525436112396516,0.5609100007614168,0.42449387115223336,0.540282102331489,0.7911840059199187,0.5052078115874298,0.21396000224405087,2.2002447841073205,0.31112569382624766,1.0082789811889148,0.9704075944659769,0.31050575293979477,2.132893960520084,1.180584341102033
2022-04-01,1.2348407003811943,0.8257529353448644,1.065376980174272,1.2751460339304694,1.0871702406747445,1.1735040251938835,1.4528799406391433,1.5602655324242454,1.6404166537856075,1.2568050213062465,1.18568610745477,0.6889305828010872,0.7994254683039875,0.357290911862336,0.7184175113833969,0.5015803674507539,0.8485230702540387,0.8225762904019929,2.46502981315395,1.0367149770790862,0.7283751819753328,0.9347877478352075,1.2767297240096678,0.8130368847825429,1.0872898514990543,1.1425665981018471,1.2815009037835918,0.9703992539747139,0.9464882071636092,1.0402976163082929,1.4191139436596696,1.3465149311648785,0.6700777936733553,0.6291589801626494,0.4937487592148474,0.8127349017814258,0.6597873752386363,0.4801479834897797,0.5418538559245746,0.5103243267979596,1.1723440956278317,1.1833791304038994,1.6392467198157488,2.3231356850086207,1.9539071149618605,0.44659696703071705,0.46601412062134073,0.5820538096335428,0.4433660200858801,0.5614317740657753,0.8043082384924385,0.523309656570001,0.21942965708788795,2.182910189710575,0.32589461563085814,1.0184351282495059,0.9764725126231586,0.3426521749233376,2.128145786450739,1.1616329641182896
2022-05-01,1.2522479762137944,0.8553204849640147,1.4032228219684713,1.2859399383573107,1.167065973479725,1.1656085256068953,1.4400952827365612,1.4881600928506353,1.5569938763771267,1.3114145762273184,1.1832045916076444,0.6179875728634443,0.7733201995391594,0.3700796847816475,0.7843828167931071,0.39366476220620467,0.8517267534247783,1.0057322046328772,2.606992924523378,0.9313247555296993,0.6549959196343553,0.9253407800873077,1.1969369604422673,0.8060295382770524,0.97589512394724,1.189267036611636,1.1849697513770658,1.0788215520674809,0.9740256082329642,1.1621195145105847,1.353714166745621,1.3637092551766843,1.2502215218728023,0.5235023648714571,0.4108940805636744,0.6887200797827876,0.569568792499769,0.40555439570117,0.5982935624321561,0.43584785272708015,1.0464297148306385,1.138165811913372,1.5698268239033517,2.17871992315221,1.7997891932429302,0.596552632451808,0.44543863474259593,0.5254496945838631,0.41297016136664183,0.5371647975854823,0.7429456172893832,0.52995245185142,0.24343207961784974,2.0894463961783316,0.3552166559267123,0.9597481396241838,0.9314841063529943,0.46509333692543253,2.198422904761385,0.9677082028882805
2022-06-01,1.2018886893829295,0.850440365277738,1.2270264747438964,1.156978796287591,1.1758486713949028,1.1554245895492214,1.4066453080230183,1.4653107392385372,1.4999842840264552,1.252708758401222,1.1801999014111852,0.5903673264209133,0.8363802656591712,0.3586482732329876,0.7988429820868485,0.41367152365124626,0.9061618130334066,0.9995581625847703,2.519412738924456,0.9215400482703952,0.6904959273861959,0.8748999408409814,1.1068220702105287,0.7252235010870518,0.9874693048903919,1.213663369059206,1.156473897554557,1.0806945197966864,0.8877591276507406,1.1559923581228695,1.3697966325088697,1.4219690040413622,1.2737455688026205,0.546875698240535,0.41281689203365846,0.7265937317465166,0.5990101260240384,0.42892555840887275,0.612749901233486,0.4260442444589889,0.9911884636323586,1.1450282048517966,1.5831504531274168,2.1267032398884504,1.7587941120551622,0.6329247880460482,0.41396596196741064,0.5496852363543505,0.4355469574092113,0.510994675677082,0.7646676328969368,0.6073419336004258,0.3064663700318476,2.1681344736152406,0.4358536247840076,1.0035331033785868,0.9703402617058334,0.5532885559892164,2.1240112558624613,0.9520048516208288
2022-07-01,1.1802042016609962,0.8313013547266727,1.3051425115713167,1.210388471054489,1.0655448390053588,1.2090744398348352,1.44579010979197,1.4101446523696435,1.5058421158874498,1.211541934470815,1.2041549918053152,0.5343754160956963,0.7717225064857872,0.36105967883642825,0.7655932614950369,0.37557909649514143,0.8350957796967385,1.0237721422932515,2.476795177833441,0.9235550616295128,0.6471512964786373,0.9281032117696146,1.1243551560852079,0.8113722471521276,0.989156291321909,1.1537265474061522,1.0505387914771958,1.145262811066547,0.9453329415929419,1.15443959622311,1.4046955228736144,1.4327143382778602,1.239980762417748,0.48285207273978775,0.3947481700137817,0.6775485449852363,0.5644152363560504,0.4129234634107241,0.5203107126259244,0.372849059961755,0.9913107754510884,1.204593499411266,1.6867597005441768,2.1531541183854555,1.7949784195907394,0.560197257427147,0.4164164441259383,0.5538708955473515,0.45056145543634196,0.5606111763109402,0.7675871683788851,0.5873734515020976,0.31630611272040365,2.18538217206302,0.4739387313426906,1.0148518313544321,0.878898506170763,0.58911564836668,2.210214928264706,1.0315852686961933
2022-08-01,1.2103805007533408,0.8324523316691814,1.3328339769701836,1.201597796538025,1.0777127452692419,1.148599046557646,1.4151736756047903,1.395266480444549,1.477067349858064,1.2059832646264117,1.2142097784462373,0.48940851172431166,0.7510867860358786,0.33250711237807695,0.6627410374201419,0.340139422196279,0.7599029002186907,1.136450343076781,2.476799064134944,0.9310948256540943,0.6538594849661384,0.9536058963914218,1.1125596716770696,0.8347267830245352,1.0039461239778664,1.1198889880234235,0.9579666908387698,1.1911531185335613,0.9787860390333769,1.1097794026075039,1.3123727859290946,1.4363379770487477,1.373555249594012,0.3703526141848486,0.3330540761313141,0.6473135967346538,0.5666078052464478,0.44593674318644966,0.562815073625589,0.3339680427516908,1.0192692139918649,1.2175428360372154,1.6438360766093356,2.0465590867421204,1.7030426495462438,0.5804103207372354,0.40529884640910424,0.567313618284215,0.4398479147345744,0.5436210474783505,0.8044995375343884,0.5902599728107566,0.3422267808651561,2.168391131924628,0.4727228729565934,0.9888454153296895,0.8503612831054237,0.35182315036489226,2.118410080361543,1.008931330418974
2022-09-01,1.20671932349945,0.8575696686251308,1.4007602519622984,1.2111395881537232,1.136920371107887,1.1208129108098845,1.3691138027057792,1.357352891153638,1.432095207949807,1.1661034781145119,1.1859124160340997,0.5153694763148271,0.7482450059501846,0.38307241008673737,0.682571994985308,0.36581467111024135,0.7751504380917515,1.1358334130432102,2.4699676510467956,0.9518848567624225,0.6717679017421277,0.9695628208118572,1.1138989686840826,0.8303077157863646,0.9842587248299217,1.083448533623701,0.953758869683548,1.11769094429933,0.9228709783499048,1.121905182576636,1.2674075828169316,1.377092731076759,1.3283510492164308,0.4013854404553693,0.334825543369087,0.6661153341207136,0.5820857573176021,0.44605143471098807,0.5887744827104977,0.3386139577030016,0.9915413299892789,1.204876488315612,1.53895988685067,1.9492405278529263,1.6002619260918212,0.5838372762117281,0.4288002912723411,0.5676037467550672,0.4348886746929773,0.5740904323892345,0.8310159967487722,0.6305429043968444,0.3934390502652908,2.1384716245608675,0.4632172811852807,1.0016117134242206,0.8266719996438846,0.40908718593714843,2.0726172929569464,1.0188179493660017
2022-10-01,1.2258492998980928,0.8901213989403263,1.4852305733622266,1.215620434079411,1.1028155551076204,1.0860238796094666,1.3343052568622862,1.343867170685523,1.380236779023233,1.2298449689591884,1.1337418688217789,0.45710968045182876,0.7277415957917079,0.31014062110419643,0.6324069467167578,0.3287322684867455,0.7394380484452999,1.1374807429258422,2.339353901615898,0.9007948507901966,0.6861577394166364,1.089282178375114,1.0535524144134554,0.8624924304322295,0.9976440319829696,1.107196968646338,0.9381690816449375,1.1560670696322837,0.9299887004532958,1.1351825547421874,1.3036410031513477,1.3928375507108903,1.1574470109216781,0.469461017092822,0.38217476944355505,0.6920095693219578,0.5809465384598329,0.42103162242639847,0.6362700232229848,0.40222054383063965,0.9774751939510045,1.1750220977907944,1.462896370962171,1.819947083987887,1.5352983528921489,0.602679125673082,0.5034890448457386,0.6194650797826803,0.5161452011743518,0.6569291873473133,0.9373149119045501,0.721650719492533,0.47925067550448647,2.0364732129276972,0.5380780032438368,0.9576529937808065,0.8238548504068711,0.3628130546905222,1.9729398800422806,1.0326435752944392
2022-11-01,1.2098645606857903,0.841761026854672,1.4534745712059853,1.1874731638925984,1.120960430145148,1.1399003497604683,1.3727716675813593,1.3726462849713323,1.3280565455469846,1.266073952574136,1.162700874922721,0.46788856256483446,0.7215325600154676,0.34601745854469057,0.6408959679174038,0.40455437321997084,0.7312820944894611,1.029850128829653,2.087668230122601,0.8993361185488189,0.7638939937332713,1.1167755845186997,1.0234136457029777,0.9686858308660695,1.0677408893002067,1.0635769899279905,0.9764262909052667,1.225873049518452,0.9772516733048684,1.0732570512840152,1.0311204591211802,1.4101358446654846,1.22428235135216,0.5503980502699479,0.4022478683875039,0.7033942829497167,0.6176031465610122,0.45687652470811246,0.6340235797182068,0.4237737521228083,1.0749141955797337,1.2574644013779488,1.5268807935083624,1.9622950345098074,1.5974368952505689,0.5644455963450252,0.4855625823164036,0.5686151861772647,0.5037218004894113,0.6536881626255134,0.9442552860486426,0.6735281513644352,0.45968504129460963,2.0837297045542145,0.560376203059585,0.9693838465085058,0.8397304193058849,0.3504743722873557,1.9613040534424373,1.0374993705024926
2022-12-01,1.167103976070952,0.8525977772092019,1.4972446253245373,1.212063491312449,1.0961576405384503,1.150500664820069,1.361804833775805,1.3882669363630495,1.3418834391499097,1.2728099247326936,1.154412163015423,0.46134760533900043,0.6854477358213653,0.3402139380106312,0.6450672566826423,0.4271042787265632,0.7471163249595093,0.9955676403552696,1.993827216514672,0.9325335987040002,0.7570062295775476,1.1543296268344372,1.0310231933916545,0.9777536756155509,1.0744170808495617,1.072897388030182,0.9731696993960003,1.2228954148417452,1.0083643884610805,1.0763009720974124,1.0946754385293074,1.3357423695740795,1.2089310149487258,0.5731887936436342,0.4379172018756453,0.7203327213756228,0.6192322110741388,0.4716755397355447,0.6486216505676763,0.43875183163496834,1.0612384209212875,1.245124676758005,1.4820896517474342,1.916079852504832,1.5877985122990848,0.5918992843263753,0.5178792016051115,0.575514438029432,0.5382648272294333,0.6748232882710904,0.9459933635822548,0.6955542688375282,0.5230317816854404,2.093822431121416,0.5509471894251057,0.9923297539019886,0.8829685232819722,0.3927949574246442,1.985563628674394,1.0574121086343564
2023-01-01,1.1939812934181364,0.8569735741916289,1.5291852132324242,1.1739012243854716,1.154431033264861,1.1206575747701142,1.3785810395052773,1.4016463975914333,1.3496089571553174,1.2392593179287839,1.1865273427327252,0.4432408764385658,0.6844461914001752,0.34018927286990064,0.6331525112026193,0.40957033845637625,0.7095050210728084,1.029663021953933,2.1660932752938815,0.9190126612039751,0.7495977625777628,1.0734467835806676,1.0366765459709992,0.9440925729735812,1.0518007932728104,1.0608831468585633,0.9252007289078367,1.19372450441809,1.0013128738307038,1.1118996922142288,1.0348523549400976,1.3480936904820962,1.1805109477728621,0.568709807066572,0.41630100584773533,0.6906482470536749,0.6172837293818952,0.4975872112368215,0.7248466551855848,0.41646887271993566,1.0319767632793075,1.2138307356316642,1.4557900301068845,1.824386787743547,1.5723844035074035,0.5777005985042734,0.4776385858956408,0.5211387126332915,0.5219006914094776,0.6263229321295756,0.9443824513086911,0.6858357652836756,0.5292894403176267,2.0277916549572677,0.5701745827607116,0.9788225632091557,0.861877502471158,0.3713451455427583,1.9439625394648459,1.048448926538839
2023-02-01,1.202045739195204,0.8459457731925557,1.6002987374345858,1.158503649434664,1.2286538560291977,1.1090369255407517,1.3740255153891054,1.3885995411365837,1.3655849759517311,1.2364593134065927,1.2087328379343927,0.39766412031872983,0.6349019924346424,0.2952569020947865,0.5698106008126629,0.3834898334527048,0.6246685224558762,1.0920010712525599,2.2458879892777945,0.9030848703130463,0.7348715421501527,1.080025313636191,1.0221090837476527,0.9328417320399292,1.0112764904181795,1.0292703604640305,0.8965842037138496,1.2534466844777112,0.9588821391953343,1.129715420686387,1.1033889279258806,1.4116750367704616,1.2293009220294273,0.5981380860397392,0.3771844729163598,0.6571868243182231,0.5789241890615135,0.4894858489687073,0.7486458820557569,0.38262713148282357,1.0171512325091234,1.162198137897661,1.4253795316793187,1.7991492836349927,1.5371252078232742,0.5147393194734425,0.46251865897704486,0.48588291752022494,0.5058971460388254,0.5973753411372016,0.9778258200584558,0.6944607687970339,0.5637308802269798,2.0196177817895076,0.589462446717566,0.9555967525949041,0.85540476504451,0.4131108904859349,1.9454230863925899,1.0177695716018755
2023-03-01,1.167557547776908,0.8506254797641581,1.7182348775779719,1.1297099321895068,1.2557019567111483,1.0726095372539048,1.35720942150647,1.3508317358786737,1.332284740664175,1.2329927969446655,1.1773406531831572,0.36365701540548695,0.6279326838442338,0.2559610425425682,0.6263973441444421,0.32682036642657286,0.6063516112458947,1.1294642122638554,2.3228782723486923,0.9380033171528606,0.7072567291585786,1.100947739230397,1.0143603815016153,0.9529128075814096,1.0392978491952394,0.9983937429631975,0.85127252010278,1.2136949258972214,0.9911178875483648,1.1641587283879908,1.091032566496224,1.4009612262355613,1.3655620515674227,0.6135017869342682,0.34032250587954016,0.6379863371967133,0.5526356705912426,0.47332725762351435,0.7388893323152079,0.34845235653446865,0.9462242136286019,1.1426524542933179,1.3936172407031986,1.7596991080464237,1.5543006763525637,0.5123631508082129,0.46388251753619214,0.42337165947289424,0.4434627636838788,0.5688240737518689,0.9706056444156237,0.7479847631493642,0.588869731254533,2.085173869921439,0.5738592174522594,0.9445722481485905,0.8692165475358359,0.47622414092220444,1.9820118374860858,1.0347863586674078
2023-04-01,1.291231509409283,0.9934345365575213,2.0085481487080017,1.1391778559492596,1.310914866683269,0.9083452526311462,1.1827058229963383,1.2313083278175063,1.1602179212226584,1.385862525396985,0.8961729510460752,0.40500792164681315,0.6941038458838578,0.4222076025740844,0.5647582261339041,0.3794605677067761,0.681618005010109,1.4200461023702355,2.3912682273441037,0.8969561856850543,0.6307438820405945,1.2119515197874748,0.8880306151154125,1.011788045142985,0.9812124720424333,1.0174604189775882,0.5696182358898534,1.0329960772518316,0.972188248769345,1.2133072002608416,1.1491068501807375,1.4189730700360101,1.682442975512715,0.4825143287267894,0.3702965458036894,0.5027279233309098,0.5259703622520591,0.6351150273831627,0.8894063575134148,0.3913576948881821,0.6976880448152349,1.0135150527451646,1.015076824595477,1.126493962570238,1.0556526156241406,0.5618216730413716,0.39644253223430015,0.38167920638534913,0.39403127633001805,0.4670173835974538,1.0830439854720864,0.8508317058055983,0.8306827076568317,1.3881056002878571,0.5990940043614229,0.9736242776052988,0.8989149203198243,0.6085967360294514,1.7816361221282622,1.0758076476071643
2023-05-01,1.3212015502294867,0.9971860550589737,2.1900753812406992,1.1398496776765592,1.3522172903522098,0.9724509278702311,1.1962101424908498,1.2201971435238559,1.1705742120278795,1.417765610026826,1.012717472833454,0.3127228653148757,0.6174876606557115,0.39102516319523734,0.5708053209541305,0.4046998311506945,0.5892384284069725,1.3297564337709527,2.2675546827987554,0.8329360201212018,0.5881249713073947,1.3227526594490278,0.8039829174230453,1.15716311836345,1.0554146322537883,1.0135820029787859,0.5599424582801386,1.367750612039675,1.0607795784846688,1.2183477623273529,1.0770887407327288,1.4735000216103855,1.7628782688024345,0.48936315616747095,0.3532436051255066,0.5314482820836547,0.49308370001904617,0.6449653738143631,0.9523908089486,0.38619496656146945,0.5961596141476461,0.897907470153005,0.8249617348969325,1.0559981679395614,0.9106809152361093,0.6896497552973485,0.40540013028207494,0.3924811815193043,0.4084414907115119,0.5367908068949737,1.107564278635879,0.8571059762616977,0.8534726210931731,1.3669326786330454,0.75941790456757,1.048477303585642,0.8805642776276836,0.3700429448931082,1.747128784042164,1.0516588663727509
2023-06-01,1.316388735096678,1.0047184480982443,2.143820666561613,1.125140596698198,1.3367215687727398,0.9811844654529949,1.2166631208827512,1.2217134470249131,1.1553499445548039,1.4221554943553913,1.0652471419973046,0.3250406919408601,0.6171807868633394,0.4074378356001612,0.5411112699866653,0.41219702847321305,0.6018839277531771,1.342251620657982,2.273683466612568,0.8055359454499162,0.6065540582440507,1.3089154531167777,0.7404291697158389,1.1683228715586789,1.0659086806174254,1.0078052299332816,0.5795074917400455,1.4071654208729965,1.0735393533114546,1.2085572882730138,1.05179019433459,1.4699606133590777,1.7726297306719307,0.4878080329026184,0.37073562536408333,0.5411090795590303,0.509533276985007,0.6503234419888864,0.9628253821574735,0.38401685003911873,0.6335356054510569,0.9259897468484961,0.8491086488678707,1.0560344065502876,0.9114806628736032,0.6672936417292357,0.4154065887099896,0.40288836489541796,0.4126508227742055,0.5422007094972441,1.117627050568622,0.8403431528631722,0.8519814383962887,1.4520322847471898,0.7450982263184924,1.0376540632586448,0.8751212900400795,0.3885323717981465,1.7827503592149225,1.0330605296876838
2023-07-01,1.3163123598754036,0.9898040545628057,2.1272191784937293,1.1170393518989572,1.2741444989063901,0.9866099771836015,1.2010013490278981,1.1871581013019203,1.138480686579999,1.4084398332994068,1.0715004119110296,0.35173246544353376,0.5902035312409434,0.4261569391233138,0.5092107464131053,0.41863134630954413,0.5763622741967005,1.3461067196071022,2.31880529258037,0.8313242592421606,0.6079312576422201,1.299814098552991,0.7715204854359495,1.2180609877097095,1.0774329030068373,1.0142238840597888,0.5933972868655826,1.3994613588276166,1.112566981629539,1.1609346965628964,1.0636290946761482,1.4472407179664888,1.78236264211141,0.4853386296377201,0.3880339766097458,0.5293686711315114,0.49971000275319366,0.6672463132343585,0.9590052597174767,0.39037579525905763,0.6334704329565235,0.9220157461848038,0.8393508638690867,1.0856120369821622,0.9094426788959833,0.6580756240393792,0.4119467753194295,0.39877767999457087,0.4135978440660191,0.5412821279713995,1.0787207353067714,0.8481559183243776,0.8566659726293534,1.4498992742008316,0.736988001347513,1.0405358521837074,0.9037073359532695,0.41093871753905264,1.7922007054970377,1.0820214022444326
2023-08-01,1.2715523815021101,1.0061052113233817,2.1479964081969,1.1506953003776936,1.2961696142294794,1.017374292431242,1.2292412009099345,1.2395039190855734,1.177801786609267,1.4256006109078476,1.145467113299342,0.3449019772925527,0.6044800686241851,0.4807835884994175,0.567449790891223,0.38879517322232443,0.5003280627080723,1.3072430648953388,2.2328066178380053,0.8352085657453943,0.593724392916857,1.330004920367248,0.7498505777877646,1.241362480604045,1.0676799952510216,1.055811408054962,0.6248391766337141,1.5054282034972686,1.0950703416418999,1.1895044336139735,1.0556992292724512,1.4484336445533648,1.7792104335848768,0.4811631106598777,0.3574992296743281,0.5181373491931104,0.49269368365848076,0.6468519235340351,0.9560345294568848,0.36899948324570975,0.6854517847667916,0.9876745662927796,0.9592807865510551,1.1644589964433723,1.0137261735435963,0.5856408905043323,0.40202860974404264,0.3903138910474467,0.37915275884872146,0.5307492381051601,1.0420868676121087,0.8527367206381887,0.8248146008803038,1.5561666392597495,0.7225497505546128,0.9951809659857961,0.8376667668683666,0.35690490507920825,1.8080072229863269,1.0567670646855385
