,AAPL,MSFT,NVDA,AVGO,CRM,JPM,BAC,GS,MS,BLK,WFC,JNJ,UNH,LLY,ABBV,MRK,PFE,AMZN,TSLA,HD,MCD,NKE,LOW,CAT,HON,UNP,RTX,GE,DE,GOOGL,META,DIS,NFLX,T,PG,KO,PEP,WMT,COST,CL,XOM,CVX,COP,SLB,EOG,NEE,DUK,SO,AEP,EXC,PLD,AMT,EQIX,SPG,PSA,LIN,APD,NEM,FCX,SHW
2016-02-01,0.019662935810058912,0.03616032822562847,-0.023252638529976777,-0.031153013019731737,-0.07235286345014608,0.04571400181922602,0.007397094698639537,-0.13397465954216872,-0.01650412041438061,0.08542350112222813,-0.020335039497100842,-0.13368575246949824,-0.01105523955590867,-0.01035291347814118,-0.035511699267219345,0.05094971562998225,0.0032994357155562643,0.0068566554733526935,-0.0838343634506734,-0.029725333194493133,0.05631060610125565,0.49142690020000845,-0.023557407443030108,-0.0616213390154426,-0.09284335394709257,-0.01204753722882698,-0.009641310385815791,0.011231995331830722,-0.06317677234229893,0.02173796225598748,0.029252135916600024,-0.08188132434784628,-0.05733803925823807,-0.05320072981788376,-0.03579832188615459,-0.0023227708174216426,-0.04211811852430153,-0.046683741201319226,0.0014824312646959555,0.2415644231646292,0.040470086567464564,0.01169612134192705,0.07998173569643613,0.0032126111226927125,-0.022397268215269592,-0.01601136927333109,-0.03021432206816757,-0.027370650129777442,0.07665159102791567,0.03905723501322114,-0.01881047495326663,-0.027657117432034597,-0.011999617454043033,0.03615531200400417,-0.017481679612643446,0.028082058800281418,0.06731233019676953,-0.021810107949200068,0.04650509260345152,0.014556415435650375
2016-03-01,0.09246956284580252,0.026789069439693464,0.09738665766140486,0.08442783002082797,0.07050907739460413,0.0771268934602608,0.1392886856605016,0.08199830609437178,0.0898235107892012,0.12262294551049684,0.06350338934901892,0.16931208422983995,0.03974118138303587,0.09316737352749996,0.1407758193635186,-0.046537009977665855,0.0330138031554298,0.08198409364535571,0.0900436720351451,0.07793300146278376,0.14839095080048495,0.3055813782640059,0.09620464119436095,0.07405349545184023,0.05520362158349656,0.06815657914040976,0.10146948389275987,0.030576325055024986,0.06851507325916333,0.0647192000970804,0.09601189747481581,-0.011755789599194374,0.11708966748094964,0.07861558626133128,0.05800356624648057,0.045771787449052796,0.008000699083236465,0.0797122977959402,0.057369128695382444,0.03432620220771485,0.07805915687203502,-0.006961544747674382,0.13549041327469769,0.04531922666008713,0.016895650164617915,0.03086081505661566,0.1485286590111067,0.11451713504991037,0.05895822512710052,0.07377813474240391,0.047424640602591175,0.09010117499720369,0.12346292010875234,0.06649975373759069,0.19597642810209082,0.08308382604963127,0.01962594969180975,0.058533310627808706,0.04921973011243996,0.058640695025996094
2016-04-01,-0.10908623014573723,0.10045098100046829,-0.10391618128149464,0.01777971529085754,0.0894270622862713,0.028771636290589757,-0.038951137210579884,0.06005069036375129,0.03365686560103528,-0.01097660967367247,0.019560689929349052,0.19248403345475146,-0.056161827086236266,0.03953327635568858,0.05567541485059859,0.11273525067631615,0.06160141108207546,-0.00662279066104339,0.13613877267512425,-0.002546494703062868,-0.024826787056475685,0.2917906788144805,-0.06264135672566518,-0.09230940937806442,0.03090720894812096,0.014380378547674072,0.02896836253004912,0.033983414590975765,0.03941034330084624,-0.0035761198948281864,0.04875006459436005,0.06307667907095482,-0.027354943893709592,0.0120426881718962,0.050330891594075,0.05447412981884195,0.08286859849680482,-0.044764604887475114,-0.014146485111118899,0.25686269365578573,-0.09062535375039335,-0.008161241771998208,0.02712532846311261,0.02772586470178648,0.10847042509802203,-0.03440111169954139,0.041216053543802963,-0.12089500267200275,0.016956688964719954,-0.0026401606816698845,0.07099342338574037,-0.053220040875398826,-0.07339855702548637,-0.017436133600337467,0.0178649425399268,0.015985761164446766,0.046973719110136085,0.07106924640808854,0.009569674086053227,0.020990589220340618
2016-05-01,0.03201751066514749,0.03169715072937285,0.06502423167686364,0.02880682576342708,0.09077399613060681,-0.030293268409253758,0.03385401046772571,0.004853167236414808,-0.007454828597213869,-0.05873042328792696,-0.016742831450209703,-0.08118718049000892,0.01923707040905397,0.09575734681732262,-0.020550516065246358,-0.038983506275105564,-0.05840159055597359,0.005500031410083468,-0.04351782066317225,0.11744353571553084,0.006077368682028669,-0.21441286524126268,0.0003959111111602742,0.05027876055478398,-0.011616036659465003,-0.039956912981918405,-0.01777986389779784,0.022182697739339823,0.032538401671284224,0.012619555027536564,-0.044714568696139816,-0.02512257006214491,0.06017671630476105,-0.017307301179713686,0.012638413004188966,0.04067528855028031,0.02645474964287977,0.029223705012793144,0.03275809360369021,-0.05972783665510786,0.11989050173280523,-0.08572280666196305,0.2184147587855108,-0.04399586001435834,0.02250080071093572,0.03855521057733706,0.05086502983209802,0.058655993755987124,-0.01174886334356081,0.02342323882764276,-0.036717363972503754,0.001562167825406283,0.022665159673547056,0.041930410280744415,-0.027561202953007846,0.014165834061085555,-0.020092455688317523,-0.026471607201304193,-0.018272537542209977,0.013279129955243968
2016-06-01,-0.00405381922545775,-0.0008497717392832692,0.003934774198222746,0.05706368594593684,-0.03095746594174143,0.005051752501285455,0.024366511033120916,-0.09782990146378437,-0.04637743710429302,0.015995095923182864,0.06363024883224529,0.007182645962559922,0.055522516220542335,-0.018529390852460095,0.03756266022007841,0.009844190650266614,0.004449059765569021,0.03533167041011806,0.05168712119992125,0.05005213004183219,0.04460195464214455,0.0017969941680281432,0.01576716336165058,-0.06296944797320972,-0.07922107632562174,-0.003120125846355029,0.043961579731140094,0.06204989732113231,-0.03717678952858895,0.00312550396857301,-0.03248194818095314,0.05700718811607056,-0.022973936664834552,-0.003524986656803066,-0.01583638430567485,0.026609623988667456,-0.046618053897559235,0.03632406636222423,0.09312406673808174,0.1819153915568244,-0.09549520920469647,0.0077888990193761085,0.04067894898729309,0.06623532779904276,0.03507120076081359,0.04313800938596769,0.052225940509963195,0.013441343041329277,0.022854865195783485,0.027663942331898145,0.018635029046615008,0.07090579981506814,0.07068338780287102,0.09554204335985134,-0.0755471126588182,0.05515699842460722,0.01223470415881537,-0.04223742019011878,0.054104837769719916,0.04305665400199806
2016-07-01,0.05651954644489388,0.070770569407137,0.07077002873293525,0.03043729894566656,0.07463432243743653,0.04604963827585034,0.028114161188398063,0.06957773704091424,0.050328548988109845,0.09942382044442793,-0.003683837794136679,-0.067597414735772,0.056350850892567445,0.00190279101058171,-0.02722708102315919,-0.045275963707884635,-0.02613709391400507,0.04729653114381428,-0.047608203835644326,-0.030601621351199378,0.0413169199782992,0.13929840228664522,0.012690831397356566,0.10798714507090018,0.07088347891741897,0.06171573190050559,-0.015237140253764795,0.039570348197418795,0.013704207990752733,-0.01128404233573031,0.05927561414741035,0.03208631897374176,0.042729066920451066,-0.018256569429975,0.06947450263877061,0.027437606796643702,0.0961866197856165,0.07999814442362868,-0.01626451009575287,0.11897393092589623,-0.010610355783936319,0.006949356074982199,0.1690785788544623,0.01799787793992774,0.03738341864103062,0.020251643395141607,0.11170356305124411,-0.055307522075013646,0.06049023407631522,0.02025696387148435,0.04390213990763871,0.007204681948926471,0.08246206659666783,0.00687147731722753,0.13060538234538377,0.009514216421157396,0.0733090568793451,0.02685019354806436,-0.016841878355057474,-0.045513471804066966
2016-08-01,0.00506926089161051,-0.03789731048349914,-0.021265547152165297,0.028245645583085722,0.024428160258300684,0.028108615238592115,0.06371130204014926,0.10405539648348981,0.01587507426664704,0.009431401754756562,-0.00822313454777707,-0.001082788938239267,-0.02540727796263157,-0.03202759437068578,-0.011333680433698003,0.07438977144791592,-0.01654810666508296,-0.06968545762334966,0.06505306545063962,-0.006645987439642453,-0.09533747288305354,-0.2230523144463295,0.02303364285794648,-0.002995725704490421,0.07197624470266115,-0.034742215530987795,-0.007026197148439175,-0.05200181910758257,0.06314758850023862,-0.016846369819913665,0.056652651268306854,-0.06074363620488026,-0.04365710440138815,-0.022756999754409403,0.001633970488951763,0.05785765246458021,0.11138368724043421,-0.01896006256779068,-0.057796841383615745,-0.13466404975935276,0.044002245664918144,0.021046276239328462,0.05103428103285451,-0.036790481622527446,-0.06455309854289078,0.032122903054953675,-0.03038618222436804,-0.06596639808713649,0.0005989585345969623,-0.05197862828156882,-0.010401090357272711,-0.026841696389017896,-0.023589179771768994,-0.03759257342138937,-0.089961892653809,-0.05596685059568824,0.042334992394458835,0.06136906529976416,-0.04678256332891164,0.0029846424024784525
2016-09-01,0.032247513395678586,-0.033214557618916424,0.053152505812682355,0.011642708129376407,0.07011626455795236,-0.05523610585292352,-0.04115451564956876,-0.05002076750872206,-0.04753384247997162,0.060178870483861,-0.015246954057213142,0.057373661078982015,-0.04841043931636209,-0.08521517605024538,0.005458929771845571,-0.00010164107743154682,-0.027903649481770133,-0.0043609910851693,0.09413966375695687,-0.024908467640625005,-0.00247521624547699,0.05853943394815635,-0.05426582913294208,0.0006347443786547113,-0.048544461250085845,-0.03613081632967772,-0.0009861960062998582,-0.016589497558403006,-0.01489099638979199,-0.03574331116964468,0.00489800867326496,0.005112913435731323,-0.06453606727371959,0.02029069444262157,0.01186573380111822,-0.018984117827374202,-0.004564447171227506,0.024411152602807833,0.021684022090539733,0.022651948469612604,0.0018461709621329057,-0.10205810217134269,0.09686683002656656,0.010968254057082197,-0.02106016399441851,0.05253993400161637,0.0393562599008615,0.026814968658390115,-0.0064641423131254205,0.012773003570076907,0.0074651114540585095,0.009367019779381466,-0.0012751952219731515,0.014877309387569718,-0.013729626604965527,0.01579328399190473,0.016628763424518432,-0.048023861335395115,-0.012227385669698936,0.00617757951297263
2016-10-01,0.011044970828280702,-0.1354174550287605,0.019919764988860562,0.07001922952889483,-0.04287837489053145,-0.04756413038089561,-0.00793437010033745,0.06611447008584041,-0.04024914755975195,-0.04536907598577429,-0.03877997775758059,-0.02559253418266582,-0.03257801872534735,0.05964038742559044,0.029296997958933278,0.02721815734133208,-0.007879872823505312,-0.004325223941312895,-0.06205594347529828,-7.200597896094701e-05,0.013165914657598683,0.04250839065735081,0.012979884954970372,0.01226999430685594,0.09960704315183351,-0.048973365188944816,-0.06803395750840716,-0.02615972742716825,0.04290104270522048,0.001735500677450555,-0.04246713605812593,-0.0699178106569547,-0.04216383784348037,-0.0453283875812714,-0.004390610384411509,-0.06763781114515993,0.03648321778376204,0.0025758129881593983,0.04936530126898856,-0.05962432891935671,0.20743338622644283,-0.06974926392369105,0.043831564616276276,-0.031046956814510505,-0.0669100398247419,-0.041862959401690686,-0.02860076352246068,-0.04469290770340993,0.010529006345190217,-0.12262867771102726,0.002443657256263573,0.011922950933245769,-0.09923398799628759,-0.09176499411715269,-0.021326586922049064,0.012594949753217228,-0.08279895379191685,0.006863029180999895,0.0011831692897542462,-0.024189218435911316
2016-11-01,0.024020754282559474,0.1516944067705612,-0.02197230922701196,-0.07680755189207761,-0.05783650358552561,0.10628033720194491,-0.0014502743921240096,0.22330814046268402,0.06157082130306282,0.1316526219563162,-0.08172026084791788,0.14233380630548206,0.058355830285949116,-0.035204654262431696,0.06663023289464948,0.14261674892406515,0.07134804311253463,-0.009438256535940548,0.09799565766816468,-0.02589725430641923,-0.050961714864723534,0.31831202925227653,0.0445763232277607,-0.06853245986155101,0.20391055187554696,0.047259068510381926,0.022256865614845744,-0.03025520499022314,0.11370041421756844,-0.015898838446766192,0.09912508973983249,-0.06663861942242974,0.0706017564117525,0.06590496425561815,-0.08933530988028363,0.04656180206590492,0.22581985855859216,0.008380432532319088,-0.11823296498650682,-0.15142322001304337,-0.05040708049721314,-0.0023986270333684304,0.20370611770187544,-0.0860043337050167,-0.01851384007182876,-0.04914719929747436,-0.048890378050459427,-0.0389856819252352,0.027319245215843016,0.0527948612603798,0.05840131001533139,-0.10686877510779447,-0.014668268213047734,0.05430040364002104,-0.06710587849898675,0.08902122103767048,0.11969068205458488,0.11652652351162533,-0.0875806209874482,0.023879936063555207
