Date,AAPL,MSFT,NVDA,AVGO,CRM,JPM,BAC,GS,MS,BLK,WFC,JNJ,UNH,LLY,ABBV,MRK,PFE,AMZN,TSLA,HD,MCD,NKE,LOW,CAT,HON,UNP,RTX,GE,DE,GOOGL,META,DIS,NFLX,T,PG,KO,PEP,WMT,COST,CL,XOM,CVX,COP,SLB,EOG,NEE,DUK,SO,AEP,EXC,PLD,AMT,EQIX,SPG,PSA,LIN,APD,NEM,FCX,SHW
2021-12-01,-1.4157729725015922,-0.8916763326611141,-1.7257168981679327,-0.6555585887730364,-0.5437764677566777,-0.019976121880675546,0.10551572481344007,-0.09865960661004669,-0.2592705894436689,-0.5852535690178899,0.5354811203785397,0.0041354356405370885,-0.1559340529199531,-0.2105498052477932,-0.13462763628757157,-0.04128930677140241,0.12229831009241676,-0.7184869497279815,-3.5518398005132896,-0.525895795204941,-0.15746964258805596,-0.7098741757067237,-0.5221511780127628,-0.2752162579245687,-0.3524431704750368,-0.28654026038496827,0.16028270154035373,-0.10532775314713172,-0.6036206164921212,-0.4829724352233593,-0.7633831702611409,-0.16697565134961345,-0.5807562431257141,-0.03910484721118013,-0.5123806095272723,-0.04645327643805164,-0.21721261769720712,-0.583612952045607,-0.661774219350185,-0.3773515372073222,0.5437564018432286,0.2944303184751619,0.5376618364205358,0.7542574194936063,0.70811831178531,-0.6338979746120978,-0.10224620478323487,-0.3189283813712145,-0.10965787402324456,0.09068297934753011,-0.48380692174202333,-0.4109252397941703,-0.8059694612194093,0.7967777010400603,-0.09230213068956883,-0.5869879635439947,-0.7217570425800621,-0.7590069649478615,-0.3986783438461261,-0.6901562962924963
2022-01-01,-2.049804624794805,-1.148349579648567,-2.3232249926347484,-0.6831688782034226,-0.45028433735984263,-0.2606275989020246,-0.11925006784558767,-0.4295941893358639,-0.5656226189680587,-0.7906704570663132,0.3931113005333121,-0.23922999481550766,-0.3660918311582475,-0.423939861493146,-0.18869472364966344,-0.10081711161608231,0.10379906444278275,-1.0024307737999605,-4.845489241116373,-0.5241293786595378,-0.21412661920835707,-0.8121482654907954,-0.6017745517929245,-0.42928793707956525,-0.5721220200288908,-0.4670659293645014,0.03172696369677763,-0.15989986447425952,-0.7128712783055813,-0.5761576443526133,-0.8700603359726735,-0.4797352539789552,-0.8582243680860211,-0.14276408256436213,-0.5586282846377066,-0.18287704671687077,-0.38808106902261885,-0.5652781998339547,-0.8241543392074591,-0.47093206646526276,0.41319636256433445,0.24670438212946344,0.5030368106956675,0.6682295796558572,0.626855503788297,-0.7868801661699083,-0.11701009708962085,-0.456947133851644,-0.1317467978530169,0.03749396143740935,-0.7125919313144156,-0.42482561652492534,-1.0218364853028814,0.7696076912541473,-0.18523107722479937,-0.6620279628307986,-0.6873142603291214,-0.6751445267707255,-0.8139708500617482,-0.7950257154736806
2022-02-01,-1.8784448955550372,-1.1780924303695088,-2.0797333271553304,-0.6404567007308801,-0.331524952518762,-0.20587092450640188,0.04216260275293193,-0.26257678059047596,-0.43838315772295844,-0.6453527476180041,0.4329708199515425,-0.24540238624087296,-0.20483843593215312,-0.66231783078,-0.3178615314077755,-0.06441773901250825,0.1011770205453909,-0.7368536124300578,-6.104225698544067,-0.4653557352138904,-0.16745066808765952,-0.5572942919823283,-0.5993413900992433,-0.3715078130401144,-0.32761534863762254,-0.21822871709427227,0.18311591149116202,0.11394604338677072,-0.6719673917067153,-0.5279803617463255,-0.4236412370084168,-0.33654281402976327,-0.47794864400801806,-0.08147045793479735,-0.36515976641933445,-0.012444381225192203,-0.2491587802663877,-0.4806766224472665,-0.6626302546696237,-0.23319061807259422,0.40652506250224374,0.2779269780375949,0.5403147261955796,0.7203648299258227,0.6622908449896798,-0.8178480961776151,-0.12722073469524098,-0.26779756669395893,-0.0399809512177145,0.10400529999269736,-0.5219726635688586,-0.3263232454338496,-0.8841471576684767,0.7651745339686391,-0.11417041755463098,-0.4775271714630822,-0.6014538822380489,-0.6978414456831585,-0.6720979394585358,-0.5778222133760513
2022-03-01,-1.5348530770871927,-1.038806675224846,-2.032928250986917,-0.6659355855223354,-0.18890339429382985,-0.35435712931506425,-0.08574192494805088,-0.47939402369400996,-0.6431890855190119,-0.5291120101064468,0.3435911067128665,-0.17812718983238374,-0.3471853568423826,-0.5561938354258875,-0.40051257306586185,0.07999824568119152,0.17829563732815823,-0.7569475745685732,-4.725249886762862,-0.3841337561432918,-0.1264245823382233,-0.5020868140369357,-0.4036443105488894,-0.548805511040251,-0.2841176351361634,-0.2058051584341789,0.17274230579841965,0.03136355253059475,-0.988622951283044,-0.6815814109935869,-0.4665659207802273,-0.47553350548496165,-0.4200319310889995,-0.02068760267771541,-0.28506788140702644,-0.0953657705052422,-0.14984597819158862,-0.3219731781607298,-0.5293188942762039,-0.16587185912874514,0.3418704489696438,0.196118223302005,0.421331963542947,0.6553126803640865,0.5574644279848566,-0.5688453077332232,-0.0003712073006241212,-0.19309020481417494,0.06467817264449816,0.18426104929941256,-0.4411791979839872,-0.23569816347807881,-0.5249905679293567,0.7179321172087336,-0.15027312623851063,-0.3863273530736524,-0.3972576637181442,-0.5417670459541988,-0.8595500864756558,-0.510188433012734
2022-04-01,-1.3313113146510918,-0.9637033623260185,-1.5594854081246066,-0.5107261039561879,-0.20264407481542035,-0.44411468719198544,-0.2636314655492895,-0.545032489107871,-0.6513588625486562,-0.7172609987845628,0.2674688303314807,-0.193361305127006,-0.46953651064985547,-0.37431917906400747,-0.3833683915886952,0.04683629952540158,0.09511839800767208,-0.623736540682662,-5.534044161681718,-0.559245714537955,-0.1818043661513442,-0.5109539400231937,-0.5837164407104862,-0.6822888067540671,-0.3316077709065042,-0.2902820495979652,0.13609095307721208,-0.05457252961843917,-1.1828830309171487,-0.6431880361738131,-0.6114615114710464,-0.4634897477404203,-0.3799401560943938,-0.09585166378924503,-0.33097504092017793,-0.13800843193283452,-0.17632263472282017,-0.401607913459195,-0.4746435400723068,-0.17417868728259767,0.3354061960100556,0.17975575724123893,0.39825832749983126,0.6628181976596736,0.5120385370706104,-0.5654386707264212,-0.11522447626883436,-0.25043864269291194,-0.018759339966361477,0.11652155962581734,-0.4987253794069211,-0.22310106222089998,-0.49365318698362426,0.7205524825732714,-0.17714236838326647,-0.5523553347687877,-0.45473585084238843,-0.6236417685218525,-0.8064179757195278,-0.642011126144796
2022-05-01,-1.372310966517814,-0.9019092579627082,-1.837922558822867,-0.4051658807801637,-0.24918308178228266,-0.2836469213577588,-0.2046521880989125,-0.5412934608936024,-0.5451808721187938,-0.6483134920463931,0.16469777637517846,-0.16979930310420732,-0.6689837990422536,-0.4988338387129192,-0.4463717101358542,0.023872753295378968,-0.008557165374028175,-0.6767826910484582,-7.239023137642155,-0.5558792396671166,-0.1957923138862503,-0.44341958700099204,-0.5813286488944136,-0.6087850074659056,-0.25650258987817454,-0.22975604556576013,0.15706353325597422,-0.034968841496307634,-1.0847313092937116,-0.826120298135038,-0.5414064289497793,-0.21932685845592892,-0.30780652439990175,-0.15114219483018676,-0.2814887223932936,-0.11375657391927985,-0.15719888478968524,-0.36900475540667244,-0.5331674825997024,-0.13351358946207115,0.31440357875828273,0.17209080486117878,0.38512536192741575,0.6574900110339754,0.5090939853769956,-0.5950753877276636,-0.14807958473095373,-0.29071066167328596,-0.043690208950636134,0.09868449819937208,-0.5407257101605099,-0.3127239542811817,-0.5761572097694008,0.6866434654036062,-0.30821827948133285,-0.544715349737575,-0.3867344880833963,-0.9656205418390991,-1.1502599187946498,-0.7242603609026985
2022-06-01,-1.6002280560068325,-0.9913741837134167,-3.3120384411939927,-0.9014103339457655,-0.41533504563718315,-0.5004483040553904,-0.4626492408403353,-0.8677902391501289,-1.0355630269792586,-1.0835538538066856,0.05165119784203587,-0.31267676515883625,-0.6618959486360987,-0.6474692163221212,-0.5178686064774931,0.012083971135405491,0.011268076800634685,-0.6928521926691833,-8.647870557711231,-0.6489355059227278,-0.18047249693870704,-0.7060309838740118,-0.9409064233333291,-0.9954235359759951,-0.3759895532680959,-0.3232883615817952,-0.020532161903971113,-0.1956429908213444,-1.4357102191129334,-0.9882828760170497,-0.7051934207329236,-0.21455689051565763,-0.38630413146680254,-0.09257721920876305,-0.3395831000603182,-0.13883843528702156,-0.18761448832246996,-0.4089052759562648,-0.6009780129236979,-0.22939474353734224,0.20015171703178403,0.11956815513892483,0.28330221778602616,0.504465165233897,0.36331016843770203,-0.47591218751103037,-0.21872632361942235,-0.2395539390439254,-0.004637480096596036,0.03938703291160639,-0.6227203163716453,-0.23502844423831215,-0.5107583246599148,0.6414274372187384,-0.22516645072151853,-0.6198852425368611,-0.45510122255499574,-1.1017530523549928,-2.1615624877730912,-0.9412297721097584
2022-07-01,-1.530236751228101,-0.9919947243772693,-3.3639495153389545,-0.6919540931588408,-0.4484864685082175,-0.3465426032774652,-0.30899022027191614,-0.7083641619896994,-0.91088353773491,-0.8532468152193846,0.14251085628041316,-0.20471553990922153,-0.600361249236927,-0.9618523041268232,-0.5955690968231961,-0.0014010633190681965,0.03988113415831429,-0.6936914780876673,-7.799515026073438,-0.5110828588694627,-0.11418435280661599,-0.7668033233093718,-0.791469005229458,-0.5867322149035819,-0.23050078826493658,-0.2766811854079172,0.04743402203008373,-0.03351371005835624,-1.0374190078076904,-1.1042387627770336,-0.6615264764170603,-0.1314961461268258,-0.3624062780034627,0.02136710070030723,-0.2604180015472972,-0.07577273354683833,-0.16140090483089775,-0.28752225291654043,-0.5198620430221033,-0.15955857636331583,0.1993350360729178,0.1816337910318777,0.24377402938704285,0.5543869522774139,0.41474082595983786,-0.42126180307969907,-0.16427773244311683,-0.13391441578794794,0.03228054821102033,0.052382501099783485,-0.5187385827919007,-0.33188443702920134,-0.5790980388758111,0.6348834278430888,-0.3001212658567489,-0.4010621630025768,-0.26189384498724966,-0.5564957363889524,-1.3046163447534824,-0.7115789021521546
2022-08-01,-1.5051159362495872,-1.0572650464210467,-3.1419739320803917,-0.7063886167300859,-0.409051658239602,-0.2668717830488865,-0.1491371471567431,-0.5722737467057215,-0.9649076321095986,-0.8376422591935944,0.1496569920673213,-0.3487914552346132,-0.6127725609157246,-1.1132417523835065,-0.8047025440231685,-0.0019760719050876396,-0.17381969037588818,-0.6610640950014652,-7.251685825350682,-0.5108697090460357,-0.15246989891372276,-0.8641377961917971,-0.7710288376072445,-0.5591226093624773,-0.3252172778249087,-0.1955897559133426,0.053689957552377154,0.0018167432344405876,-1.0845229589648753,-1.0678478973999428,-0.6913299674481348,-0.10671267082965596,-0.5316741742572251,0.06151292118232632,-0.23571893932182197,-0.09567852796679177,-0.25983066050760484,-0.30271355806804356,-0.5788227023828993,-0.1317794648239985,0.24996339674649704,0.19621590356893037,0.2834825079957364,0.6070732841475094,0.4490746785868085,-0.49884191369283015,-0.2591800548504144,-0.17578567897649822,-0.009579688981027124,-0.06543550397884212,-0.6097176788535379,-0.3470150007650743,-0.6208102391503239,0.651419665799805,-0.3227946623884099,-0.568095452373292,-0.26591758986900715,-0.6325595873581429,-1.4859378929860787,-0.6394765677035894
2022-09-01,-1.6598420644265626,-1.1513337940876829,-3.7478545906759457,-0.7934506191384771,-0.5234222974734919,-0.4071718051160722,-0.39903091323843154,-0.8695721549457818,-1.2908018638982095,-1.2172002098142731,0.12001161583352138,-0.3758494097846039,-0.7365018935735925,-1.1596022368078596,-0.8894543709690605,0.044848249773256854,-0.39392672802156703,-0.8215611412661425,-8.46302891075666,-0.4107038923598605,-0.09038319068466216,-0.8665486288620476,-0.6975148460758147,-0.763098886309999,-0.37866031933220645,-0.3245660213500492,0.053727234963367176,-0.32982836199165977,-1.3336359839042555,-1.2675893068637585,-0.882327266198631,-0.18058179471646207,-0.853138191211505,0.10907744006187348,-0.21468522394090606,-0.03539876987630697,-0.1759912317803689,-0.3073070792835333,-0.5684817810113816,-0.07387759672617578,0.2271243361966896,0.20126628804552782,0.18811626811424276,0.5170275494757366,0.3947695523742021,-0.5263440913488266,-0.1749221349244936,-0.1675080538500291,0.010868488020109313,-0.06408891077536838,-0.6310691016124919,-0.2830047673523852,-0.5108773104570348,0.5916409075103193,-0.25988948363925823,-0.6246572204521608,-0.1808890940714225,-0.38013168846798595,-1.901282197570064,-0.665262156154792
